Creditor Name,Debtor Name,Credit Type,Original Amount (USD),Outstanding Balance (USD),Creditor Target Days,Debtor Target Days,Days Overdue,Purchase Purpose,Reason for Overdue,Business Sector,Last Payment Date,Collateral,Recovery Stage,Cash Flow Situation,Business Impact Description,Proposed Solution,Recovery Probability (%),Interest Accrued (USD)
Marsh-Jacobs,"Robinson, Coleman and Rivera",Commercial Mortgage,38175.95,15700,7,176,204,Retail space,Natural disaster impact,e-enable enterprise metrics,2025-06-05 07:48:10.602368,Personal Guarantee,Pre-Collection,Temporary Disruption,Present plant life family side term around. Tend police court someone wish subject next ready. Old fund trouble account again.,Collateral liquidation,32.0,1052.9753424657536
"Davis, Gonzalez and Castro",Madden Ltd,Working Capital Loan,21243.58,15700,11,151,338,Operational expenses,Client bankruptcy affecting receivables,engineer collaborative action-items,2025-04-21 07:48:10.602368,Real Estate,Pre-Collection,Temporary Disruption,Which plan technology tell try career. Much fire forward significant.,Collateral liquidation,5.0,1744.635616438356
"Ford, Johnson and Smith",Underwood-Roberts,Merchant Cash Advance,22710.82,15700,12,166,54,Business expansion,Client bankruptcy affecting receivables,re-intermediate turn-key systems,2025-02-17 07:48:10.602368,Inventory,Write-Off,Temporary Disruption,Would for a nice interest key. Discuss fear conference side meeting art.,Debt restructuring with extended terms,82.0,278.7287671232877
Perez Inc,Howell Group,Commercial Mortgage,40078.24,15700,12,143,169,Warehouse purchase,Fraud incident,redefine enterprise web-readiness,2025-05-06 07:48:10.602368,None,Legal,Complete Breakdown,Heart small their mouth worry ago fight. Perhaps direction little fine. Because must entire finally speech could call.,Debt restructuring with extended terms,43.666666666666664,872.317808219178
Hodges Inc,Evans Inc,Merchant Cash Advance,41705.02,15700,7,106,171,POS system upgrade,Currency fluctuation losses,brand best-of-breed schemas,2025-03-10 07:48:10.602368,Equipment,Pre-Legal,Complete Breakdown,Strategy others authority film. Design when contain edge. Collection voice dark but fine.,Third-party guarantee,43.0,882.641095890411
Frazier PLC,"Young, Smith and Ward",Invoice Financing,41392.12,15700,19,46,45,Client receivables,Key customer default,incentivize rich e-services,2025-05-30 07:48:10.602368,None,Pre-Legal,Temporary Disruption,Order the down including school majority. Onto read base me not last full.,Debt restructuring with extended terms,85.0,232.27397260273972
Turner Ltd,"Heath, Young and Mcclain",Equipment Financing,40732.15,15700,15,98,264,Manufacturing equipment,Unexpected tax liabilities,optimize next-generation web services,2025-06-01 07:48:10.602368,Personal Guarantee,Legal,Complete Breakdown,These project science nearly. Season economic score factor capital daughter. Beyond go standard word media those.,Collateral liquidation,12.0,1362.6739726027397
Payne-Obrien,Cox and Sons,Trade Finance,40211.38,15700,20,151,221,Export shipment,Regulatory compliance costs,redefine world-class convergence,2025-04-02 07:48:10.602368,Real Estate,Write-Off,Complete Breakdown,Common seven affect bring director. Agree last station raise piece look.,Partial payment plan,26.33333333333333,1140.7232876712328
"Byrd, Brown and Murphy",Reyes-Taylor,Trade Finance,42766.69,15700,5,152,100,Export shipment,Pandemic-related closures,monetize cross-media markets,2025-04-26 07:48:10.602368,Inventory,Legal,Complete Breakdown,Food case social perform. Require foreign player exactly. From tell six yourself.,Equity conversion,66.66666666666666,516.1643835616438
"Robinson, Benson and Walsh",Dixon-Herring,Merchant Cash Advance,45755.79,15700,7,146,135,Seasonal stock,Natural disaster impact,grow mission-critical solutions,2025-03-06 07:48:10.602368,None,Early Delinquency,Chronic Shortage,Side rock else develop leave. Leader window late.,Third-party guarantee,55.0,696.821917808219
Nelson-Boyd,"Mccoy, Fleming and Harris",Commercial Mortgage,22949.41,15700,7,161,160,Office building,Seasonal sales downturn,disintermediate bricks-and-clicks mindshare,2025-03-01 07:48:10.602368,Equipment,Write-Off,Temporary Disruption,Same operation TV community firm reduce. Focus money source may son themselves a discover.,Equity conversion,46.666666666666664,825.8630136986301
Nelson PLC,Baker PLC,Merchant Cash Advance,21575.78,15700,18,79,345,Seasonal stock,Unexpected tax liabilities,visualize scalable relationships,2025-05-02 07:48:10.602368,Accounts Receivable,Write-Off,Temporary Disruption,Military gun catch foot. Prove change travel however choose. Reason artist their company break.,Collateral liquidation,5.0,1780.7671232876712
Young PLC,Clayton Group,Equipment Financing,22240.11,15700,5,88,266,Manufacturing equipment,Seasonal sales downturn,maximize magnetic e-business,2025-03-28 07:48:10.602368,None,Late Delinquency,Complete Breakdown,For help why get difficult believe subject human. Nation interest national car subject almost draw.,Partial payment plan,11.333333333333329,1372.9972602739724
Greene-Robinson,Garner-Acosta,Invoice Financing,24745.19,15700,8,167,358,Client receivables,Pandemic-related closures,revolutionize cross-media mindshare,2025-04-24 07:48:10.602368,Real Estate,Pre-Legal,Complete Breakdown,Leader without agency firm. Account marriage imagine job agreement present. Break family food see health around management.,Equity conversion,5.0,1847.8684931506848
"Gomez, Moore and Smith",Dean Ltd,Working Capital Loan,34830.72,15700,18,156,146,Marketing campaign,Pandemic-related closures,streamline out-of-the-box e-markets,2025-06-05 07:48:10.602368,None,Late Delinquency,Complete Breakdown,Certain collection continue. Surface everybody spring across. Instead risk apply true close drop stage.,Third-party guarantee,51.333333333333336,753.6
Lee-Woods,Mcdonald-James,Business Line of Credit,45563.51,15700,20,155,94,Payroll funding,Seasonal sales downturn,re-contextualize value-added convergence,2025-05-25 07:48:10.602368,Personal Guarantee,Late Delinquency,Chronic Shortage,Ability tax amount stay wife experience movement. Hold method them kitchen present without general.,Partial payment plan,68.66666666666667,485.19452054794516
Kent Group,"Nelson, Stevens and Hamilton",Invoice Financing,45543.31,15700,8,148,157,Supplier payments,Pandemic-related closures,cultivate extensible vortals,2025-03-15 07:48:10.602368,Equipment,Write-Off,Chronic Shortage,System administration determine charge. Street perhaps financial.,Partial payment plan,47.666666666666664,810.3780821917809
Jones Inc,Burgess-Hensley,Merchant Cash Advance,28157.29,15700,20,77,129,POS system upgrade,Unexpected tax liabilities,architect visionary e-services,2025-04-20 07:48:10.602368,Inventory,Pre-Legal,Chronic Shortage,Away themselves decade here data black. Early oil include guy program need. Today without bag produce data ability rest.,Collateral liquidation,57.0,665.8520547945205
"Johnson, Mcbride and Ramirez",Romero Inc,Invoice Financing,37851.09,15700,15,118,164,Outstanding invoices,Client bankruptcy affecting receivables,generate proactive supply-chains,2025-03-04 07:48:10.602368,Equipment,Late Delinquency,Temporary Disruption,Bit usually PM politics sea foreign. Within whole affect sometimes few. Attorney charge begin letter talk whom feeling.,Third-party guarantee,45.333333333333336,846.5095890410959
Vincent-Trujillo,"Phillips, Torres and Hill",Trade Finance,35414.71,15700,6,161,301,Export shipment,Supply chain disruption,incentivize user-centric supply-chains,2025-06-13 07:48:10.602368,Accounts Receivable,Legal,Complete Breakdown,Top pretty decide throughout tax. Man gas effect might accept officer. Memory laugh take week above.,Debt restructuring with extended terms,5.0,1553.654794520548
Price-Wallace,"Harris, Hudson and Leonard",Business Line of Credit,38906.69,15700,20,158,255,Payroll funding,Regulatory compliance costs,seize best-of-breed synergies,2025-03-04 07:48:10.602368,Equipment,Pre-Legal,Temporary Disruption,Each enjoy employee month. Cover the ask certain option. Tend citizen never form music almost day. Summer open maybe old my two thing.,Third-party guarantee,15.0,1316.2191780821918
Wood-Ware,Thornton PLC,Trade Finance,27502.0,15700,5,142,278,Import goods,Supply chain disruption,empower open-source e-commerce,2025-03-23 07:48:10.602368,Equipment,Early Delinquency,Complete Breakdown,Decision stop spend party meet. Indicate see whole political moment move card in. Off grow task.,Partial payment plan,7.333333333333329,1434.9369863013696
"Gray, Hamilton and Tran",Collins-Anderson,Invoice Financing,44687.71,15700,16,33,100,Outstanding invoices,Fraud incident,embrace intuitive paradigms,2025-05-10 07:48:10.602368,None,Write-Off,Chronic Shortage,Newspaper threat art deep. Matter around occur these heart guess. Admit example five back.,Partial payment plan,66.66666666666666,516.1643835616438
Mclaughlin Inc,"Collins, Duncan and Shepherd",Business Line of Credit,23467.11,15700,9,88,330,Emergency expenses,Supply chain disruption,leverage transparent solutions,2025-04-18 07:48:10.602368,Equipment,Late Delinquency,Temporary Disruption,Local company benefit open letter audience eat.,Third-party guarantee,5.0,1703.3424657534244
Lynch PLC,"Davidson, Mills and Nielsen",Trade Finance,44476.09,15700,16,169,148,Commodities purchase,Natural disaster impact,reinvent best-of-breed paradigms,2025-04-06 07:48:10.602368,Personal Guarantee,Write-Off,Chronic Shortage,Add my off establish job.,Third-party guarantee,50.666666666666664,763.9232876712329
"Moreno, Marks and Alvarez",Armstrong-Brown,Business Line of Credit,48765.03,15700,6,68,186,Emergency expenses,Currency fluctuation losses,synthesize collaborative markets,2025-03-05 07:48:10.602368,Real Estate,Pre-Collection,Temporary Disruption,Old spend particular himself some painting production. Crime walk daughter southern check generation window.,Collateral liquidation,38.0,960.0657534246575
Gonzalez Ltd,Moore-Olson,Business Line of Credit,34300.1,15700,7,118,166,Inventory purchase,Key customer default,leverage holistic methodologies,2025-05-30 07:48:10.602368,Inventory,Early Delinquency,Complete Breakdown,Group free reality task Mrs. Old detail two capital staff.,Partial payment plan,44.666666666666664,856.8328767123288
"Howard, Reyes and Soto","Griffin, Wong and Hall",Business Line of Credit,34037.72,15700,16,79,259,Inventory purchase,Natural disaster impact,extend efficient relationships,2025-03-10 07:48:10.602368,Inventory,Late Delinquency,Temporary Disruption,Sort soldier inside show. Budget mention chance perform long staff work. Start agreement film avoid.,Partial payment plan,13.666666666666671,1336.8657534246574
Grant PLC,Smith-Pitts,Business Line of Credit,44367.22,15700,15,131,340,Emergency expenses,Client bankruptcy affecting receivables,enhance back-end e-commerce,2025-04-16 07:48:10.602368,Real Estate,Write-Off,Complete Breakdown,Create son sell say foot at reach there. College type paper reach.,Equity conversion,5.0,1754.958904109589
Johnston and Sons,Mullen Ltd,Business Line of Credit,48217.01,15700,14,46,85,Emergency expenses,Pandemic-related closures,transition scalable e-commerce,2025-03-10 07:48:10.602368,Accounts Receivable,Early Delinquency,Complete Breakdown,Lead during get need key become structure. Official bag down almost. Traditional I toward. Field exist become husband fall analysis.,Debt restructuring with extended terms,71.66666666666667,438.73972602739724
"Jones, Powell and Potter",Leon-Mason,Commercial Mortgage,29267.21,15700,6,66,57,Warehouse purchase,Unexpected tax liabilities,benchmark one-to-one ROI,2025-03-18 07:48:10.602368,Real Estate,Late Delinquency,Complete Breakdown,Coach do do worry including goal whole. History treatment crime time account experience. Itself rock move. Have this phone former magazine.,Equity conversion,81.0,294.213698630137
Michael Group,Gibson Group,Business Line of Credit,25171.42,15700,5,121,68,Payroll funding,Regulatory compliance costs,transition dot-com content,2025-02-27 07:48:10.602368,None,Write-Off,Chronic Shortage,Policy big under room weight.,Third-party guarantee,77.33333333333333,350.9917808219178
Gutierrez-Mcgee,Mcclure and Sons,Commercial Mortgage,31538.3,15700,6,58,286,Retail space,Pandemic-related closures,re-contextualize user-centric info-mediaries,2025-05-07 07:48:10.602368,Accounts Receivable,Early Delinquency,Complete Breakdown,Community must rock walk. Figure season among fund various anything. Democrat back question financial himself discover suddenly.,Third-party guarantee,5.0,1476.2301369863012
Rowe-Strickland,Morgan PLC,Merchant Cash Advance,32556.85,15700,14,144,264,Seasonal stock,Unexpected tax liabilities,extend vertical deliverables,2025-03-22 07:48:10.602368,Real Estate,Early Delinquency,Chronic Shortage,Clear game white be teach happen. Decade realize finish apply white world.,Collateral liquidation,12.0,1362.6739726027397
"Walker, Ortiz and Wheeler",Roth Ltd,Commercial Mortgage,44611.54,15700,16,110,189,Warehouse purchase,Supply chain disruption,unleash granular markets,2025-05-23 07:48:10.602368,None,Write-Off,Chronic Shortage,Door sit history choose camera analysis probably space. Cost its large newspaper fast race. Ability next before buy very unit house use.,Partial payment plan,37.0,975.5506849315068
"Lucas, Calhoun and White",Mills PLC,Merchant Cash Advance,36223.81,15700,5,148,283,Business expansion,Unexpected tax liabilities,harness back-end e-services,2025-05-11 07:48:10.602368,None,Legal,Temporary Disruption,Page action cell participant cost. Sense reality girl have born. Just perform interest choice.,Third-party guarantee,5.666666666666671,1460.745205479452
Pittman-Dougherty,Savage-Strong,Invoice Financing,45355.46,15700,19,174,156,Outstanding invoices,Fraud incident,transition magnetic models,2025-05-16 07:48:10.602368,Personal Guarantee,Pre-Legal,Temporary Disruption,Owner reach challenge protect station view. Red under important though provide night western.,Third-party guarantee,48.0,805.2164383561644
"Johnson, Mooney and Flores","Davila, Sherman and Jones",Commercial Mortgage,37761.72,15700,14,168,169,Office building,Seasonal sales downturn,leverage seamless methodologies,2025-02-21 07:48:10.602368,Real Estate,Write-Off,Complete Breakdown,Indeed mouth cup early pick decide. East middle letter stock travel community for. Possible avoid lot glass.,Third-party guarantee,43.666666666666664,872.317808219178
Larson LLC,Mitchell-Williams,Equipment Financing,38264.16,15700,5,133,59,Manufacturing equipment,Key customer default,productize transparent channels,2025-04-29 07:48:10.602368,Real Estate,Late Delinquency,Complete Breakdown,Star marriage imagine stuff shoulder admit including. Both arm politics care her top serve. Week public pay spring.,Collateral liquidation,80.33333333333333,304.53698630136984
Hurley Group,Hansen LLC,Trade Finance,30800.05,15700,10,83,175,Export shipment,Unexpected tax liabilities,drive compelling niches,2025-05-29 07:48:10.602368,Equipment,Late Delinquency,Chronic Shortage,Today use program get.,Debt restructuring with extended terms,41.666666666666664,903.2876712328766
"Torres, Molina and Mills","Oneal, Turner and Wright",Trade Finance,41156.92,15700,7,179,176,Commodities purchase,Fraud incident,evolve next-generation methodologies,2025-04-20 07:48:10.602368,None,Pre-Legal,Temporary Disruption,Song machine lay each. Beyond nothing score mouth agent small bring. Kitchen purpose by often. Tend former news information.,Collateral liquidation,41.333333333333336,908.4493150684932
Carrillo Inc,"Bailey, Miller and Scott",Commercial Mortgage,48265.6,15700,9,58,194,Retail space,Regulatory compliance costs,productize bleeding-edge applications,2025-05-26 07:48:10.602368,Real Estate,Early Delinquency,Chronic Shortage,Product such military paper memory thank. Middle democratic car goal full stock foot. Note lawyer discussion war wind. Also since foot whatever occur candidate establish many.,Partial payment plan,35.33333333333333,1001.3589041095892
"Hall, Sosa and George",Daniel-Mitchell,Business Line of Credit,28660.18,15700,20,162,191,Payroll funding,Seasonal sales downturn,integrate user-centric mindshare,2025-03-02 07:48:10.602368,Personal Guarantee,Legal,Complete Breakdown,Us like full style. Cold television town life.,Partial payment plan,36.333333333333336,985.8739726027397
Wells-Mendoza,"Cook, Petty and Evans",Invoice Financing,47955.97,15700,13,69,186,Outstanding invoices,Regulatory compliance costs,transition seamless platforms,2025-04-28 07:48:10.602368,Personal Guarantee,Pre-Collection,Complete Breakdown,Still response carry foot. Billion assume arm old.,Third-party guarantee,38.0,960.0657534246575
Trujillo and Sons,Rivera-Brown,Commercial Mortgage,42799.52,15700,15,54,84,Warehouse purchase,Regulatory compliance costs,seize robust interfaces,2025-05-16 07:48:10.602368,Inventory,Early Delinquency,Chronic Shortage,Mention return organization. Cultural staff source once lot. Standard decide story age table future idea wait.,Third-party guarantee,72.0,433.5780821917808
Beasley-Clark,"Baird, Ashley and Frank",Merchant Cash Advance,21485.71,15700,8,148,39,Seasonal stock,Currency fluctuation losses,evolve innovative e-markets,2025-02-24 07:48:10.602368,Real Estate,Late Delinquency,Complete Breakdown,Our itself election operation. Prove behavior billion inside career record short. Picture language suddenly move.,Collateral liquidation,87.0,201.3041095890411
Stephenson-Parker,Anderson-Hurst,Invoice Financing,29822.63,15700,17,154,164,Outstanding invoices,Pandemic-related closures,utilize distributed solutions,2025-05-27 07:48:10.602368,Equipment,Legal,Chronic Shortage,Until structure society establish Mr fish door. Key among event artist. Reflect need offer program star fill. Read long society compare suffer large effort whatever.,Debt restructuring with extended terms,45.333333333333336,846.5095890410959
Rodriguez-Gamble,Jackson-Gonzalez,Business Line of Credit,46668.42,15700,10,56,88,Payroll funding,Fraud incident,enable revolutionary experiences,2025-03-15 07:48:10.602368,Equipment,Late Delinquency,Chronic Shortage,Exactly until appear drop at. Might day already study.,Third-party guarantee,70.66666666666667,454.2246575342466
Reynolds Group,Schmidt-Trujillo,Working Capital Loan,20907.33,15700,5,174,66,Tax payments,Client bankruptcy affecting receivables,drive distributed functionalities,2025-04-20 07:48:10.602368,Real Estate,Late Delinquency,Complete Breakdown,Reach control fast front similar. Such response read you.,Third-party guarantee,78.0,340.6684931506849
Cruz-Bennett,Montgomery Ltd,Invoice Financing,25984.48,15700,20,175,83,Supplier payments,Key customer default,orchestrate wireless e-tailers,2025-03-22 07:48:10.602368,Equipment,Late Delinquency,Temporary Disruption,You move leg at help option cultural. Stuff if accept suggest until human.,Partial payment plan,72.33333333333333,428.4164383561644
Bell-Patel,"Hale, Webb and Walker",Invoice Financing,40502.86,15700,11,35,220,Client receivables,Unexpected tax liabilities,embrace web-enabled mindshare,2025-03-28 07:48:10.602368,Real Estate,Write-Off,Temporary Disruption,Matter significant make financial player. Toward vote character fight result democratic reduce. Dream area create record certainly.,Equity conversion,26.66666666666667,1135.5616438356165
Schaefer Ltd,Santiago-Campbell,Invoice Financing,30283.86,15700,13,88,225,Client receivables,Pandemic-related closures,drive magnetic initiatives,2025-04-11 07:48:10.602368,None,Legal,Complete Breakdown,There thing possible peace however physical result. Machine then suddenly into run use.,Collateral liquidation,25.0,1161.3698630136987
Johnson-Macias,Mckenzie-Williams,Trade Finance,25120.18,15700,9,37,64,Export shipment,Regulatory compliance costs,revolutionize intuitive web-readiness,2025-05-30 07:48:10.602368,Inventory,Write-Off,Complete Breakdown,Central mother draw into table point management. Quality would PM carry discuss must city. Simply mouth spend number partner hit. Quickly upon despite have memory must it.,Partial payment plan,78.66666666666667,330.34520547945203
"Flowers, Stevens and Clark",Perkins-Kim,Working Capital Loan,42486.86,15700,12,90,313,Operational expenses,Pandemic-related closures,re-contextualize compelling relationships,2025-05-30 07:48:10.602368,None,Write-Off,Temporary Disruption,Child success production could themselves leader. Front as over threat since respond. Bring sit southern none office.,Debt restructuring with extended terms,5.0,1615.5945205479452
Moss-Payne,Day Group,Business Line of Credit,31013.77,15700,14,172,278,Payroll funding,Regulatory compliance costs,grow ubiquitous e-commerce,2025-03-18 07:48:10.602368,Equipment,Pre-Collection,Chronic Shortage,Own sing kid share catch pretty. Political building movie focus director.,Equity conversion,7.333333333333329,1434.9369863013696
"Winters, Marshall and Davis","Sanchez, Farley and Watson",Working Capital Loan,47912.31,15700,11,52,135,Operational expenses,Unexpected tax liabilities,innovate sticky communities,2025-05-14 07:48:10.602368,Inventory,Legal,Complete Breakdown,Section election worker. Item material successful student.,Partial payment plan,55.0,696.821917808219
Gray LLC,Bradford Group,Business Line of Credit,48149.63,15700,16,158,235,Payroll funding,Unexpected tax liabilities,engage magnetic technologies,2025-03-02 07:48:10.602368,Personal Guarantee,Pre-Collection,Temporary Disruption,Coach itself general kind though. Another law year improve clearly those defense. Adult executive reach.,Third-party guarantee,21.66666666666667,1212.986301369863
"Jordan, Duffy and Owens",Foster Group,Merchant Cash Advance,26438.65,15700,10,45,195,Business expansion,Currency fluctuation losses,leverage customized interfaces,2025-03-31 07:48:10.602368,Personal Guarantee,Pre-Legal,Chronic Shortage,Likely should gun thank able. West option new interview chance want tonight.,Third-party guarantee,35.0,1006.5205479452056
Grant Group,"Williams, Swanson and Gentry",Working Capital Loan,44362.8,15700,17,79,275,Marketing campaign,Natural disaster impact,scale real-time e-services,2025-02-26 07:48:10.602368,None,Legal,Temporary Disruption,Within teacher particular bit. Man another president particular all. Mrs property whole product material.,Partial payment plan,8.333333333333329,1419.4520547945206
Green-Barnett,Colon and Sons,Equipment Financing,45903.19,15700,8,78,99,Office hardware,Natural disaster impact,enable collaborative synergies,2025-05-16 07:48:10.602368,Inventory,Write-Off,Temporary Disruption,Thing chair up approach activity reach include. Standard deal main carry think interview student. Sister help seem.,Collateral liquidation,67.0,511.0027397260274
Richardson LLC,"Robinson, Rodriguez and Brown",Invoice Financing,49775.27,15700,15,131,135,Supplier payments,Fraud incident,disintermediate strategic architectures,2025-02-21 07:48:10.602368,Real Estate,Late Delinquency,Complete Breakdown,Clearly summer seat father letter project must. Commercial president industry kid attack person station degree. On poor boy able hit.,Debt restructuring with extended terms,55.0,696.821917808219
"Mack, Brown and Welch","Lynch, Sullivan and Noble",Business Line of Credit,30096.84,15700,20,67,359,Emergency expenses,Natural disaster impact,incentivize virtual convergence,2025-04-30 07:48:10.602368,Equipment,Write-Off,Chronic Shortage,Really situation successful vote. Region remain reflect what field. Religious three specific admit media.,Partial payment plan,5.0,1853.0301369863012
Williams-Murphy,Pittman-Bennett,Working Capital Loan,27729.35,15700,18,151,48,Marketing campaign,Key customer default,envisioneer ubiquitous e-commerce,2025-05-20 07:48:10.602368,Equipment,Legal,Temporary Disruption,Summer month rich anyone pay treat edge plan. Body through business expert. Suddenly media article sign set kid.,Collateral liquidation,84.0,247.75890410958903
"Sanchez, Price and Suarez","Willis, Harris and Moreno",Working Capital Loan,45622.98,15700,11,124,126,Operational expenses,Key customer default,facilitate B2C experiences,2025-02-24 07:48:10.602368,Equipment,Legal,Complete Breakdown,Suddenly plant area year serious hold practice. Worker degree certainly push house seem newspaper. Spring lead especially consider culture gun degree.,Collateral liquidation,58.0,650.3671232876712
"Burke, Prince and Jones",Harper-Barnes,Invoice Financing,46949.16,15700,12,175,80,Supplier payments,Currency fluctuation losses,evolve cross-platform vortals,2025-03-25 07:48:10.602368,Equipment,Legal,Chronic Shortage,Pull leader set writer. Me scene writer garden approach production ever. Sell process suggest street down learn hospital.,Debt restructuring with extended terms,73.33333333333333,412.93150684931504
Huffman LLC,Stephenson-Lopez,Business Line of Credit,28807.44,15700,10,86,224,Payroll funding,Pandemic-related closures,monetize holistic systems,2025-03-08 07:48:10.602368,Inventory,Early Delinquency,Chronic Shortage,Wide election join fine. Cold pick accept factor.,Equity conversion,25.33333333333333,1156.2082191780823
"House, Rodriguez and Williams",Keith PLC,Equipment Financing,47113.39,15700,15,133,92,Manufacturing equipment,Client bankruptcy affecting receivables,grow enterprise e-tailers,2025-04-25 07:48:10.602368,Personal Guarantee,Legal,Complete Breakdown,Ten off billion individual.,Collateral liquidation,69.33333333333333,474.8712328767123
"Pham, Collins and Gutierrez",Hodges Ltd,Invoice Financing,24613.79,15700,17,87,32,Supplier payments,Key customer default,whiteboard B2C partnerships,2025-06-16 07:48:10.602368,Inventory,Pre-Collection,Chronic Shortage,Challenge bill still keep seat indicate strategy thousand. Floor pressure knowledge century. Seem strong what help perhaps participant. Look sure during.,Equity conversion,89.33333333333333,165.17260273972602
Davis and Sons,Brown and Sons,Business Line of Credit,35321.22,15700,18,50,247,Emergency expenses,Seasonal sales downturn,drive integrated users,2025-04-06 07:48:10.602368,Inventory,Late Delinquency,Temporary Disruption,Face show truth imagine tonight moment film. Important clear pass TV sit sound.,Equity conversion,17.66666666666667,1274.9260273972602
"Calderon, Barnett and Hunter",Merritt-Rodriguez,Trade Finance,41551.31,15700,13,127,148,Import goods,Regulatory compliance costs,incubate killer infrastructures,2025-04-05 07:48:10.602368,Equipment,Pre-Collection,Chronic Shortage,Carry question last these. Wonder buy seek understand at between despite. Nation their expert.,Equity conversion,50.666666666666664,763.9232876712329
Williams LLC,"Li, Ferguson and Moore",Business Line of Credit,25158.08,15700,18,46,341,Payroll funding,Seasonal sales downturn,maximize B2B solutions,2025-04-06 07:48:10.602368,Equipment,Pre-Collection,Temporary Disruption,Hold capital course decade. Again quite yet manage memory heavy mind.,Third-party guarantee,5.0,1760.1205479452055
Garza Inc,Anderson-Dillon,Commercial Mortgage,31329.89,15700,17,142,69,Retail space,Seasonal sales downturn,incubate B2C communities,2025-05-01 07:48:10.602368,None,Pre-Legal,Chronic Shortage,Near attorney knowledge teach. Under citizen another structure easy could.,Third-party guarantee,77.0,356.15342465753423
"Russell, Fischer and Hamilton",Merritt PLC,Merchant Cash Advance,30958.24,15700,18,37,64,POS system upgrade,Currency fluctuation losses,transform compelling schemas,2025-03-31 07:48:10.602368,None,Late Delinquency,Complete Breakdown,Computer quality would list. Describe type society spend radio do. Describe still bed edge those dream.,Third-party guarantee,78.66666666666667,330.34520547945203
